Mes;Semana;Dia;Hora;Hora (24h);Cosumo (W);Velocidad viento;Generación Eólica;Irradiencia FV (W/m2);Irradiencia (90º) FV (W/m2);Generación (90º) FV (W);Generación (comvencional) FV (W);Generación Total (W);Excedente (W);Batería (W);Nuevo Consumo;Último Consumo;Nuevo Excedente;;;;;;;;;
;;;4790;13:00:00;3628;3,8467295;0;984,38;486,18;10080,0512;5906,28;5906,28;2278,28;40000;0;0;2278,28;;;;;;;;;
;;;4791;14:00:00;1202;4,126575;0;958,08;678,52;9810,7392;5748,48;5748,48;4546,48;40000;0;0;4546,48;;;;;;;;;
;;;4792;15:00:00;1390,25;4,1507196;0;854,88;835,72;8753,9712;5129,28;5129,28;3739,03;40000;0;0;3739,03;;;;;;;;;
;;;4793;16:00:00;110,25;3,5239713;0;676,14;916,76;6923,6736;4056,84;4056,84;3946,59;40000;0;0;3946,59;;;;;;;;;
;;;4794;17:00:00;485,25;3,582121;0;409,7;769,14;4195,328;2458,2;2458,2;1972,95;40000;0;0;1972,95;;;;;;;;;
;;;4795;18:00:00;678,93;3,2342002;0;232,77;806,34;2383,5648;1396,62;1396,62;717,69;40000;0;0;717,69;;;;;;;;;
;;;4796;19:00:00;2147,05;2,3887014;0;26,5;28,28;271,36;159;159;0;38012;1988,05;0;0;;;;;;;;;
;;;4797;20:00:00;2051,05;1,7818664;0;0;0;0;0;0;0;35961;2051,05;0;0;;;;;;;;;
;;;4798;21:00:00;4587,05;1,7302411;0;0;0;0;0;0;0;31374;4587,05;0;0;;;;;;;;;
;;;4799;22:00:00;1397,05;1,1396972;0;0;0;0;0;0;0;29977;1397,05;0;0;;;;;;;;;
;;;4800;23:00:00;1587,05;0,6607593;0;0;0;0;0;0;0;28390;1587,05;0;0;;;;;;;;;
;;Viernes;4801;0:00:00;1518,65;0,4601707;0;0;0;0;0;0;0;26871;1518,65;0;0;;;;;;;;;
;;;4802;1:00:00;110,25;0,57558984;0;0;0;0;0;0;0;26761;110,25;0;0;;;;;;;;;
;;;4803;2:00:00;110,25;0,5068042;0;0;0;0;0;0;0;26651;110,25;0;0;;;;;;;;;
;;;4804;3:00:00;110,25;0,6319684;0;0;0;0;0;0;0;26540;110,25;0;0;;;;;;;;;
;;;4805;4:00:00;52;0,7696216;0;0;0;0;0;0;0;26488;52;0;0;;;;;;;;;
;;;4806;5:00:00;52;0,9798909;0;0;0;0;0;0;0;26436;52;0;0;;;;;;;;;
;;;4807;6:00:00;941,44;1,2641363;0;51,29;331,48;525,2096;307,74;307,74;0;25803;633,7;0;0;;;;;;;;;
;;;4808;7:00:00;1623,8;0,87768596;0;98,69;627,84;1010,5856;592,14;592,14;0;24771;1031,66;0;0;;;;;;;;;
;;;4809;8:00:00;1023,8;0,7889566;0;288,88;743,35;2958,1312;1733,28;1733,28;709,48;25480;0;0;0;;;;;;;;;
;;;4810;9:00:00;468,04;1,2364725;0;509,6;731,6;5218,304;3057,6;3057,6;2589,56;28070;0;0;0;;;;;;;;;
;;;4811;10:00:00;897;1,8174944;0;712,27;611,68;7293,6448;4273,62;4273,62;3376,62;31447;0;0;0;;;;;;;;;
;;;4812;11:00:00;362;2,7075946;0;882,24;424,2;9034,1376;5293,44;5293,44;4931,44;36378;0;0;1309,53;;;;;;;;;
;;;4813;12:00:00;52;3,5000477;0;989,29;214,52;10130,3296;5935,74;5935,74;5883,74;40000;0;0;5883,74;;;;;;;;;
;;;4814;13:00:00;3628;4,079673;0;1027,29;455,86;10519,4496;6163,74;6163,74;2535,74;40000;0;0;2535,74;;;;;;;;;
;;;4815;14:00:00;1202;4,6731696;0;984,52;674,99;10081,4848;5907,12;5907,12;4705,12;40000;0;0;4705,12;;;;;;;;;
;;;4816;15:00:00;1390,25;4,8750916;0;869,38;842,41;8902,4512;5216,28;5216,28;3826,03;40000;0;0;3826,03;;;;;;;;;
;;;4817;16:00:00;110,25;4,6645465;0;693,01;936,66;7096,4224;4158,06;4158,06;4047,81;40000;0;0;4047,81;;;;;;;;;
;;;4818;17:00:00;485,25;3,8481357;0;469,89;929,06;4811,6736;2819,34;2819,34;2334,09;40000;0;0;2334,09;;;;;;;;;
;;;4819;18:00:00;678,93;2,79884;0;232,12;802,66;2376,9088;1392,72;1392,72;713,79;40000;0;0;713,79;;;;;;;;;
;;;4820;19:00:00;2147,05;2,1995218;0;25,65;27,36;262,656;153,9;153,9;0;38007;1993,15;0;0;;;;;;;;;
;;;4821;20:00:00;2051,05;1,6149733;0;0;0;0;0;0;0;35956;2051,05;0;0;;;;;;;;;
;;;4822;21:00:00;4587,05;1,24584;0;0;0;0;0;0;0;31369;4587,05;0;0;;;;;;;;;
;;;4823;22:00:00;1397,05;0,5635874;0;0;0;0;0;0;0;29972;1397,05;0;0;;;;;;;;;
;;;4824;23:00:00;1587,05;0,46088016;0;0;0;0;0;0;0;28385;1587,05;0;0;;;;;;;;;
;;Sábado;4825;0:00:00;1587,05;0,5714127;0;0;0;0;0;0;0;26798;1587,05;0;0;;;;;;;;;
;;;4826;1:00:00;420,25;0,9149456;0;0;0;0;0;0;0;26377;420,25;0;0;;;;;;;;;
;;;4827;2:00:00;110,25;0,85394955;0;0;0;0;0;0;0;26267;110,25;0;0;;;;;;;;;
;;;4828;3:00:00;52;0,6963242;0;0;0;0;0;0;0;26215;52;0;0;;;;;;;;;
;;;4829;4:00:00;52;0,6899821;0;0;0;0;0;0;0;26163;52;0;0;;;;;;;;;
;;;4830;5:00:00;52;0,7608832;0;0;0;0;0;0;0;26111;52;0;0;;;;;;;;;
;;;4831;6:00:00;297;1,1405826;0;49,58;321,3;507,6992;297,48;297,48;0,48;26112;0;0;0;;;;;;;;;
;;;4832;7:00:00;1330,4;0,6722169;0;128,2;459;1312,768;769,2;769,2;0;25550;561,2;0;0;;;;;;;;;
;;;4833;8:00:00;1193,8;0,43382552;0;286,66;653,21;2935,3984;1719,96;1719,96;526,16;26077;0;0;0;;;;;;;;;
;;;4834;9:00:00;1205,68;0,83489805;0;502,37;722,06;5144,2688;3014,22;3014,22;1808,54;27885;0;0;0;;;;;;;;;
;;;4835;10:00:00;1618;1,112949;0;692,33;610,88;7089,4592;4153,98;4153,98;2535,98;30421;0;0;0;;;;;;;;;
;;;4836;11:00:00;232;2,2876315;0;859,91;432,81;8805,4784;5159,46;5159,46;4927,46;35349;0;0;275,98;;;;;;;;;
;;;4837;12:00:00;52;3,2651453;0;964,52;235,24;9876,6848;5787,12;5787,12;5735,12;40000;0;0;5735,12;;;;;;;;;
;;;4838;13:00:00;2440,25;3,5432472;0;999,3;463,57;10232,832;5995,8;5995,8;3555,55;40000;0;0;3555,55;;;;;;;;;
;;;4839;14:00:00;3540,25;3,7295485;0;962,65;671,57;9857,536;5775,9;5775,9;2235,65;40000;0;0;2235,65;;;;;;;;;
;;;4840;15:00:00;1390,25;3,6953843;0;853,57;831,74;8740,5568;5121,42;5121,42;3731,17;40000;0;0;3731,17;;;;;;;;;
;;;4841;16:00:00;110,25;3,5836003;0;679,99;919,95;6963,0976;4079,94;4079,94;3969,69;40000;0;0;3969,69;;;;;;;;;
;;;4842;17:00:00;52;3,3085208;0;457,11;896,93;4680,8064;2742,66;2742,66;2690,66;40000;0;0;2690,66;;;;;;;;;
;;;4843;18:00:00;117;3,02025;0;229,06;787,85;2345,5744;1374,36;1374,36;1257,36;40000;0;0;1257,36;;;;;;;;;
;;;4844;19:00:00;209,4;2,3079805;0;24,79;26,44;253,8496;148,74;148,74;0;39939;60,66;0;0;;;;;;;;;
;;;4845;20:00:00;1642,04;1,7687073;0;0;0;0;0;0;0;38297;1642,04;0;0;;;;;;;;;
;;;4846;21:00:00;4528,8;1,7028927;0;0;0;0;0;0;0;33769;4528,8;0;0;;;;;;;;;
;;;4847;22:00:00;1932,05;1,3769083;0;0;0;0;0;0;0;31836;1932,05;0;0;;;;;;;;;
;;;4848;23:00:00;2122,05;1,0101727;0;0;0;0;0;0;0;29714;2122,05;0;0;;;;;;;;;
;;Domingo;4849;0:00:00;1587,05;1,5445993;0;0;0;0;0;0;0;28127;1587,05;0;0;;;;;;;;;
;;;4850;1:00:00;420,25;2,3099718;0;0;0;0;0;0;0;27707;420,25;0;0;;;;;;;;;
;;;4851;2:00:00;110,25;3,3397665;0;0;0;0;0;0;0;27597;110,25;0;0;;;;;;;;;
;;;4852;3:00:00;52;3,9117815;0;0;0;0;0;0;0;27545;52;0;0;;;;;;;;;
;;;4853;4:00:00;52;3,6772609;0;0;0;0;0;0;0;27493;52;0;0;;;;;;;;;
;;;4854;5:00:00;52;2,739742;0;0;0;0;0;0;0;27441;52;0;0;;;;;;;;;
;;;4855;6:00:00;297;2,1293752;0;52,15;269,65;534,016;312,9;312,9;15,9;27457;0;0;0;;;;;;;;;
;;;4856;7:00:00;1330,4;1,8619041;0;98,79;604,66;1011,6096;592,74;592,74;0;26719;737,66;0;0;;;;;;;;;
;;;4857;8:00:00;1193,8;2,0628765;0;283,53;594,32;2903,3472;1701,18;1701,18;507,38;27226;0;0;0;;;;;;;;;
;;;4858;9:00:00;1205,68;1,8762909;0;448,36;624,56;4591,2064;2690,16;2690,16;1484,48;28711;0;0;0;;;;;;;;;
;;;4859;10:00:00;1618;2,2282073;0;722,3;605,25;7396,352;4333,8;4333,8;2715,8;31427;0;0;0;;;;;;;;;
;;;4860;11:00:00;232;3,2364619;0;843,14;445,62;8633,7536;5058,84;5058,84;4826,84;36254;0;0;1080,43;;;;;;;;;
;;;4861;12:00:00;52;4,631419;0;955,37;241,56;9782,9888;5732,22;5732,22;5680,22;40000;0;0;5680,22;;;;;;;;;
;;;4862;13:00:00;2440,25;5,7285657;0;995,95;463,01;10198,528;5975,7;5975,7;3535,45;40000;0;0;3535,45;;;;;;;;;
;;;4863;14:00:00;3540,25;6,748884;0;963,84;669,01;9869,7216;5783,04;5783,04;2242,79;40000;0;0;2242,79;;;;;;;;;
;;;4864;15:00:00;1390,25;6,4829564;0;839,65;824,43;8598,016;5037,9;5037,9;3647,65;40000;0;0;3647,65;;;;;;;;;
;;;4865;16:00:00;110,25;5,6220775;0;684,18;924;7006,0032;4105,08;4105,08;3994,83;40000;0;0;3994,83;;;;;;;;;
;;;4866;17:00:00;52;4,92537;0;462,97;913,14;4740,8128;2777,82;2777,82;2725,82;40000;0;0;2725,82;;;;;;;;;
;;;4867;18:00:00;117;4,165253;0;219,95;731,23;2252,288;1319,7;1319,7;1202,7;40000;0;0;1202,7;;;;;;;;;
;;;4868;19:00:00;209,4;2,8461092;0;23,94;25,54;245,1456;143,64;143,64;0;39934;65,76;0;0;;;;;;;;;
;;;4869;20:00:00;1642,04;1,4872043;0;0;0;0;0;0;0;38292;1642,04;0;0;;;;;;;;;
;;;4870;21:00:00;4528,8;0,81434023;0;0;0;0;0;0;0;33763;4528,8;0;0;;;;;;;;;
;;;4871;22:00:00;1932,05;1,4610497;0;0;0;0;0;0;0;31831;1932,05;0;0;;;;;;;;;
;;;4872;23:00:00;2122,05;1,6374853;0;0;0;0;0;0;0;29709;2122,05;0;0;;;;;;;;;
;30;Lunes;4873;0:00:00;1518,65;1,8444116;0;0;0;0;0;0;0;28191;1518,65;0;0;;;;;;;;;
;;;4874;1:00:00;110,25;1,7787043;0;0;0;0;0;0;0;28080;110,25;0;0;;;;;;;;;
;;;4875;2:00:00;110,25;1,4025526;0;0;0;0;0;0;0;27970;110,25;0;0;;;;;;;;;
;;;4876;3:00:00;110,25;1,1147268;0;0;0;0;0;0;0;27860;110,25;0;0;;;;;;;;;
;;;4877;4:00:00;52;0,87325895;0;0;0;0;0;0;0;27808;52;0;0;;;;;;;;;
;;;4878;5:00:00;52;0,96066415;0;0;0;0;0;0;0;27756;52;0;0;;;;;;;;;
;;;4879;6:00:00;941,44;0,92717016;0;54,71;169,72;560,2304;328,26;328,26;0;27143;613,18;0;0;;;;;;;;;
;;;4880;7:00:00;1623,8;0,9737973;0;123,17;462,69;1261,2608;739,02;739,02;0;26258;884,78;0;0;;;;;;;;;
;;;4881;8:00:00;1023,8;1,5617516;0;268,03;459,14;2744,6272;1608,18;1608,18;584,38;26842;0;0;0;;;;;;;;;
;;;4882;9:00:00;468,04;1,9836686;0;459,19;649,5;4702,1056;2755,14;2755,14;2287,1;29129;0;0;0;;;;;;;;;
;;;4883;10:00:00;897;2,882856;0;620,66;611,41;6355,5584;3723,96;3723,96;2826,96;31956;0;0;0;;;;;;;;;
;;;4884;11:00:00;362;3,1286843;0;566,39;528,78;5799,8336;3398,34;3398,34;3036,34;34993;0;0;0;;;;;;;;;
;;;4885;12:00:00;52;2,9561517;0;929,02;271,46;9513,1648;5574,12;5574,12;5522,12;40000;0;0;5522,12;;;;;;;;;
;;;4886;13:00:00;3628;3,8343155;0;956,82;489,39;9797,8368;5740,92;5740,92;2112,92;40000;0;0;2112,92;;;;;;;;;
;;;4887;14:00:00;1202;4,860992;0;919,15;674,37;9412,096;5514,9;5514,9;4312,9;40000;0;0;4312,9;;;;;;;;;
;;;4888;15:00:00;1390,25;5,2960353;0;829,5;817,91;8494,08;4977;4977;3586,75;40000;0;0;3586,75;;;;;;;;;
;;;4889;16:00:00;110,25;5,0483994;0;641,2;869,9;6565,888;3847,2;3847,2;3736,95;40000;0;0;3736,95;;;;;;;;;
;;;4890;17:00:00;485,25;4,5274158;0;425,68;815,76;4358,9632;2554,08;2554,08;2068,83;40000;0;0;2068,83;;;;;;;;;
;;;4891;18:00:00;678,93;3,8437479;0;133,36;272,94;1365,6064;800,16;800,16;121,23;40000;0;0;121,23;;;;;;;;;
;;;4892;19:00:00;2147,05;2,8424625;0;23,08;24,62;236,3392;138,48;138,48;0;37991;2008,57;0;0;;;;;;;;;
;;;4893;20:00:00;2051,05;1,6603097;0;0;0;0;0;0;0;35940;2051,05;0;0;;;;;;;;;
;;;4894;21:00:00;4587,05;0,8552621;0;0;0;0;0;0;0;31353;4587,05;0;0;;;;;;;;;
;;;4895;22:00:00;1397,05;0,88194627;0;0;0;0;0;0;0;29956;1397,05;0;0;;;;;;;;;
;;;4896;23:00:00;1587,05;1,0334654;0;0;0;0;0;0;0;28369;1587,05;0;0;;;;;;;;;
;;Martes;4897;0:00:00;1518,65;1,1355892;0;0;0;0;0;0;0;26851;1518,65;0;0;;;;;;;;;
;;;4898;1:00:00;110,25;1,3802075;0;0;0;0;0;0;0;26740;110,25;0;0;;;;;;;;;
;;;4899;2:00:00;110,25;1,5000682;0;0;0;0;0;0;0;26630;110,25;0;0;;;;;;;;;
;;;4900;3:00:00;110,25;1,4895558;0;0;0;0;0;0;0;26520;110,25;0;0;;;;;;;;;
;;;4901;4:00:00;52;1,395931;0;0;0;0;0;0;0;26468;52;0;0;;;;;;;;;
;;;4902;5:00:00;52;1,2990874;0;0;0;0;0;0;0;26416;52;0;0;;;;;;;;;
;;;4903;6:00:00;941,44;1,584738;0;51,29;257,86;525,2096;307,74;307,74;0;25782;633,7;0;0;;;;;;;;;
;;;4904;7:00:00;1623,8;1,0613174;0;103,27;583,08;1057,4848;619,62;619,62;0;24778;1004,18;0;0;;;;;;;;;
;;;4905;8:00:00;1023,8;1,1089718;0;284,75;720,66;2915,84;1708,5;1708,5;684,7;25463;0;0;0;;;;;;;;;
;;;4906;9:00:00;468,04;1,5403455;0;502,13;722,67;5141,8112;3012,78;3012,78;2544,74;28007;0;0;0;;;;;;;;;
;;;4907;10:00:00;897;2,368953;0;698,51;609,08;7152,7424;4191,06;4191,06;3294,06;31301;0;0;0;;;;;;;;;
;;;4908;11:00:00;362;3,2390983;0;856,97;437,19;8775,3728;5141,82;5141,82;4779,82;36081;0;0;861,09;;;;;;;;;
;;;4909;12:00:00;52;4,014927;0;940,18;272,49;9627,4432;5641,08;5641,08;5589,08;40000;0;0;5589,08;;;;;;;;;
;;;4910;13:00:00;3628;4,700257;0;1002,42;464,59;10264,7808;6014,52;6014,52;2386,52;40000;0;0;2386,52;;;;;;;;;
;;;4911;14:00:00;1202;5,1979504;0;952,88;674,29;9757,4912;5717,28;5717,28;4515,28;40000;0;0;4515,28;;;;;;;;;
;;;4912;15:00:00;1390,25;5,2545495;0;840,16;827,6;8603,2384;5040,96;5040,96;3650,71;40000;0;0;3650,71;;;;;;;;;
;;;4913;16:00:00;110,25;5,0065455;0;690,2;932,01;7067,648;4141,2;4141,2;4030,95;40000;0;0;4030,95;;;;;;;;;
;;;4914;17:00:00;485,25;4,603045;0;466,39;920,86;4775,8336;2798,34;2798,34;2313,09;40000;0;0;2313,09;;;;;;;;;
;;;4915;18:00:00;678,93;3,9149618;0;227,28;778,89;2327,3472;1363,68;1363,68;684,75;40000;0;0;684,75;;;;;;;;;
;;;4916;19:00:00;2147,05;2,4971151;0;22,23;23,72;227,6352;133,38;133,38;0;37986;2013,67;0;0;;;;;;;;;
;;;4917;20:00:00;2051,05;1,7730812;0;0;0;0;0;0;0;35935;2051,05;0;0;;;;;;;;;
;;;4918;21:00:00;4587,05;1,6840292;0;0;0;0;0;0;0;31348;4587,05;0;0;;;;;;;;;
;;;4919;22:00:00;1397,05;1,4605844;0;0;0;0;0;0;0;29951;1397,05;0;0;;;;;;;;;
;;;4920;23:00:00;1587,05;1,0911455;0;0;0;0;0;0;0;28364;1587,05;0;0;;;;;;;;;
;;Miércoles;4921;0:00:00;1518,65;1,0239228;0;0;0;0;0;0;0;26845;1518,65;0;0;;;;;;;;;
;;;4922;1:00:00;110,25;0,99482083;0;0;0;0;0;0;0;26735;110,25;0;0;;;;;;;;;
;;;4923;2:00:00;110,25;0,887951;0;0;0;0;0;0;0;26625;110,25;0;0;;;;;;;;;
;;;4924;3:00:00;110,25;0,36117572;0;0;0;0;0;0;0;26515;110,25;0;0;;;;;;;;;
;;;4925;4:00:00;52;0,17977458;0;0;0;0;0;0;0;26463;52;0;0;;;;;;;;;
;;;4926;5:00:00;52;0,42047614;0;0;0;0;0;0;0;26411;52;0;0;;;;;;;;;
;;;4927;6:00:00;941,44;0,88923126;0;52,15;189,19;534,016;312,9;312,9;0;25782;628,54;0;0;;;;;;;;;
;;;4928;7:00:00;1623,8;1,0749741;0;135,57;334,92;1388,2368;813,42;813,42;0;24972;810,38;0;0;;;;;;;;;
;;;4929;8:00:00;1023,8;1,4935504;0;283,13;694,67;2899,2512;1698,78;1698,78;674,98;25647;0;0;0;;;;;;;;;
;;;4930;9:00:00;468,04;1,9681486;0;491,87;708,48;5036,7488;2951,22;2951,22;2483,18;28130;0;0;0;;;;;;;;;
;;;4931;10:00:00;897;2,1827075;0;609,48;609,23;6241,0752;3656,88;3656,88;2759,88;30890;0;0;0;;;;;;;;;
;;;4932;11:00:00;362;3,0084329;0;839,21;451,07;8593,5104;5035,26;5035,26;4673,26;35563;0;0;236,37;;;;;;;;;
;;;4933;12:00:00;52;3,4566605;0;955,17;240,01;9780,9408;5731,02;5731,02;5679,02;40000;0;0;5679,02;;;;;;;;;
;;;4934;13:00:00;3628;3,7409184;0;1002,56;460,81;10266,2144;6015,36;6015,36;2387,36;40000;0;0;2387,36;;;;;;;;;
;;;4935;14:00:00;1202;4,4215784;0;959,25;668,85;9822,72;5755,5;5755,5;4553,5;40000;0;0;4553,5;;;;;;;;;
;;;4936;15:00:00;1390,25;5,109174;0;808,31;810,77;8277,0944;4849,86;4849,86;3459,61;40000;0;0;3459,61;;;;;;;;;
;;;4937;16:00:00;110,25;5,0740056;0;579,59;783,59;5935,0016;3477,54;3477,54;3367,29;40000;0;0;3367,29;;;;;;;;;
;;;4938;17:00:00;485,25;4,671217;0;453,15;887,55;4640,256;2718,9;2718,9;2233,65;40000;0;0;2233,65;;;;;;;;;
;;;4939;18:00:00;678,93;3,605749;0;200,24;620,46;2050,4576;1201,44;1201,44;522,51;40000;0;0;522,51;;;;;;;;;
;;;4940;19:00:00;2147,05;2,865134;0;22,23;23,72;227,6352;133,38;133,38;0;37986;2013,67;0;0;;;;;;;;;
;;;4941;20:00:00;2051,05;2,5144553;0;0;0;0;0;0;0;35935;2051,05;0;0;;;;;;;;;
;;;4942;21:00:00;4587,05;1,7557927;0;0;0;0;0;0;0;31348;4587,05;0;0;;;;;;;;;
;;;4943;22:00:00;1397,05;1,6792389;0;0;0;0;0;0;0;29951;1397,05;0;0;;;;;;;;;
;;;4944;23:00:00;1587,05;1,1336789;0;0;0;0;0;0;0;28364;1587,05;0;0;;;;;;;;;
;;Jueves;4945;0:00:00;1518,65;0,92890364;0;0;0;0;0;0;0;26845;1518,65;0;0;;;;;;;;;
;;;4946;1:00:00;110,25;0,45480314;0;0;0;0;0;0;0;26735;110,25;0;0;;;;;;;;;
;;;4947;2:00:00;110,25;0,38978717;0;0;0;0;0;0;0;26625;110,25;0;0;;;;;;;;;
;;;4948;3:00:00;110,25;0,6234174;0;0;0;0;0;0;0;26515;110,25;0;0;;;;;;;;;
;;;4949;4:00:00;52;1,3353102;0;0;0;0;0;0;0;26463;52;0;0;;;;;;;;;
;;;4950;5:00:00;52;1,4872713;0;0;0;0;0;0;0;26411;52;0;0;;;;;;;;;
;;;4951;6:00:00;941,44;1,4434646;0;51,29;152,65;525,2096;307,74;307,74;0;25777;633,7;0;0;;;;;;;;;
;;;4952;7:00:00;1623,8;1,8390893;0;134,73;329,07;1379,6352;808,38;808,38;0;24962;815,42;0;0;;;;;;;;;
;;;4953;8:00:00;1023,8;2,2818568;0;245,72;365,74;2516,1728;1474,32;1474,32;450,52;25412;0;0;0;;;;;;;;;
;;;4954;9:00:00;468,04;2,6225493;0;385,5;500,56;3947,52;2313;2313;1844,96;27257;0;0;0;;;;;;;;;
;;;4955;10:00:00;897;2,4293041;0;684,49;605,86;7009,1776;4106,94;4106,94;3209,94;30467;0;0;0;;;;;;;;;
;;;4956;11:00:00;362;3,0555913;0;859,86;425,78;8804,9664;5159,16;5159,16;4797,16;35264;0;0;61,35;;;;;;;;;
;;;4957;12:00:00;52;3,6068027;0;965,22;224,68;9883,8528;5791,32;5791,32;5739,32;40000;0;0;5739,32;;;;;;;;;
;;;4958;13:00:00;3628;4,0464096;0;996,17;458,71;10200,7808;5977,02;5977,02;2349,02;40000;0;0;2349,02;;;;;;;;;
;;;4959;14:00:00;1202;4,4531755;0;959,56;666,53;9825,8944;5757,36;5757,36;4555,36;40000;0;0;4555,36;;;;;;;;;
;;;4960;15:00:00;1390,25;4,439221;0;855,32;829,53;8758,4768;5131,92;5131,92;3741,67;40000;0;0;3741,67;;;;;;;;;
;;;4961;16:00:00;110,25;4,5735283;0;676,31;913,56;6925,4144;4057,86;4057,86;3947,61;40000;0;0;3947,61;;;;;;;;;
;;;4962;17:00:00;485,25;4,1349807;0;430,45;829,58;4407,808;2582,7;2582,7;2097,45;40000;0;0;2097,45;;;;;;;;;
;;;4963;18:00:00;678,93;3,4869404;0;196,8;606,78;2015,232;1180,8;1180,8;501,87;40000;0;0;501,87;;;;;;;;;
;;;4964;19:00:00;2147,05;2,717717;0;20,52;21,88;210,1248;123,12;123,12;0;37976;2023,93;0;0;;;;;;;;;
;;;4965;20:00:00;2051,05;2,1939085;0;0;0;0;0;0;0;35925;2051,05;0;0;;;;;;;;;
;;;4966;21:00:00;4587,05;2,1115143;0;0;0;0;0;0;0;31338;4587,05;0;0;;;;;;;;;
;;;4967;22:00:00;1397,05;2,113167;0;0;0;0;0;0;0;29941;1397,05;0;0;;;;;;;;;
;;;4968;23:00:00;1587,05;1,4302979;0;0;0;0;0;0;0;28354;1587,05;0;0;;;;;;;;;
;;Viernes;4969;0:00:00;1518,65;1,2770773;0;0;0;0;0;0;0;26835;1518,65;0;0;;;;;;;;;
;;;4970;1:00:00;110,25;1,036161;0;0;0;0;0;0;0;26725;110,25;0;0;;;;;;;;;
;;;4971;2:00:00;110,25;0,95257604;0;0;0;0;0;0;0;26615;110,25;0;0;;;;;;;;;
;;;4972;3:00:00;110,25;0,67070097;0;0;0;0;0;0;0;26504;110,25;0;0;;;;;;;;;
;;;4973;4:00:00;52;0,94902986;0;0;0;0;0;0;0;26452;52;0;0;;;;;;;;;
;;;4974;5:00:00;52;1,2934989;0;0;0;0;0;0;0;26400;52;0;0;;;;;;;;;
;;;4975;6:00:00;941,44;1,3310072;0;47,87;264,53;490,1888;287,22;287,22;0;25746;654,22;0;0;;;;;;;;;
;;;4976;7:00:00;1623,8;1,2606665;0;102,88;562,49;1053,4912;617,28;617,28;0;24740;1006,52;0;0;;;;;;;;;
;;;4977;8:00:00;1023,8;1,3149558;0;281,92;652,87;2886,8608;1691,52;1691,52;667,72;25407;0;0;0;;;;;;;;;
;;;4978;9:00:00;468,04;1,5359601;0;488,48;703,78;5002,0352;2930,88;2930,88;2462,84;27870;0;0;0;;;;;;;;;
;;;4979;10:00:00;897;2,3465788;0;679,58;612,35;6958,8992;4077,48;4077,48;3180,48;31051;0;0;0;;;;;;;;;
;;;4980;11:00:00;362;3,1148891;0;847,83;440,6;8681,7792;5086,98;5086,98;4724,98;35776;0;0;500,73;;;;;;;;;
;;;4981;12:00:00;52;3,8049257;0;961,44;233,87;9845,1456;5768,64;5768,64;5716,64;40000;0;0;5716,64;;;;;;;;;
;;;4982;13:00:00;3628;4,1219525;0;997,4;462,67;10213,376;5984,4;5984,4;2356,4;40000;0;0;2356,4;;;;;;;;;
;;;4983;14:00:00;1202;4,457355;0;965,57;669,39;9887,4368;5793,42;5793,42;4591,42;40000;0;0;4591,42;;;;;;;;;
;;;4984;15:00:00;1390,25;4,5176206;0;851,43;829,5;8718,6432;5108,58;5108,58;3718,33;40000;0;0;3718,33;;;;;;;;;
;;;4985;16:00:00;110,25;4,403932;0;680,38;918,85;6967,0912;4082,28;4082,28;3972,03;40000;0;0;3972,03;;;;;;;;;
;;;4986;17:00:00;485,25;3,880293;0;462,23;911,84;4733,2352;2773,38;2773,38;2288,13;40000;0;0;2288,13;;;;;;;;;
;;;4987;18:00:00;678,93;3,7530186;0;231,25;812,98;2368;1387,5;1387,5;708,57;40000;0;0;708,57;;;;;;;;;
;;;4988;19:00:00;2147,05;3,269033;0;21,37;22,8;218,8288;128,22;128,22;0;37981;2018,83;0;0;;;;;;;;;
;;;4989;20:00:00;2051,05;2,4091673;0;0;0;0;0;0;0;35930;2051,05;0;0;;;;;;;;;
;;;4990;21:00:00;4587,05;1,3017199;0;0;0;0;0;0;0;31343;4587,05;0;0;;;;;;;;;
;;;4991;22:00:00;1397,05;1,0963324;0;0;0;0;0;0;0;29946;1397,05;0;0;;;;;;;;;
;;;4992;23:00:00;1587,05;1,7422575;0;0;0;0;0;0;0;28359;1587,05;0;0;;;;;;;;;
;;Sábado;4993;0:00:00;1587,05;1,8485953;0;0;0;0;0;0;0;26772;1587,05;0;0;;;;;;;;;
;;;4994;1:00:00;420,25;1,5779157;0;0;0;0;0;0;0;26352;420,25;0;0;;;;;;;;;
;;;4995;2:00:00;110,25;0,8487946;0;0;0;0;0;0;0;26241;110,25;0;0;;;;;;;;;
;;;4996;3:00:00;52;0,066166446;0;0;0;0;0;0;0;26189;52;0;0;;;;;;;;;
;;;4997;4:00:00;52;0,34189415;0;0;0;0;0;0;0;26137;52;0;0;;;;;;;;;
;;;4998;5:00:00;52;0,4030428;0;0;0;0;0;0;0;26085;52;0;0;;;;;;;;;
;;;4999;6:00:00;297;0,2796842;0;47,87;117,83;490,1888;287,22;287,22;0;26076;9,78;0;0;;;;;;;;;
;;;5000;7:00:00;1330,4;0,30228046;0;114,84;487,54;1175,9616;689,04;689,04;0;25434;641,36;0;0;;;;;;;;;
;;;5001;8:00:00;1193,8;1,013873;0;280,81;698,34;2875,4944;1684,86;1684,86;491,06;25925;0;0;0;;;;;;;;;
;;;5002;9:00:00;1205,68;1,5526255;0;492,11;708,4;5039,2064;2952,66;2952,66;1746,98;27672;0;0;0;;;;;;;;;
